Date(s),Day(s),Event Name,Distances,Comments,event date confirmed on,URL
1-Jan-21,Fri,Beyond the Black Stump,16k / 33k / 8k Walk,A tradidional New Years Day run,Sun 23 May 21,https://www.runningcalendar.com.au/event/beyond-the-black-stump/
7-Mar-21,Sun,Orange Running Festival,10k / 21k / 42k,40 Trotters in 1974,Sun 23 May 21,https://www.orangerunningfestival.com.au/
13-Mar-21,Sat,Six Foot Track,45k,A great event,Sun 23 May 21,https://www.sixfoot.com/
11-Apr-21,Sun,Canberra Marathon,10k / 21k / 42k,Watch out for early bird discounts,Sun 23 May 21,https://www.runningcalendar.com.au/event/australian-running-festival/
18-Apr-21,Sun,Lindfield Fun Run,5k / 10k,A Trotters tradional run,Sun 23 May 21,https://lindfieldfunrun.org.au/
25-Apr-21,Sun,TT Anzac Day Run,20k,Run back from Dawn Service,Sun 23 May 21,
tbc,tbc,Manly Rotary Fun Run,5k / 10k,10th Anniversary (ask Peter Welch),Sun 23 May 21,https://www.manlyfunrun.org/
13 to 16 May,Thu-Sun,UTA 50k and UTA 100k,50k / 100k,Tough run,Sun 23 May 21,https://www.ultratrailaustralia.com.au/
30-May-21,Sun,Ku-ring-gai Chase Fun Run,5k / 10k,A charity run,Sun 23 May 21,https://tkcfunrun.org.au/wp/
6-Jun-21,Sun,The Great NOSH Footrace,16k / 22k,by Orienteering NSW,Thu 10 Jun 21,https://thegreatnoshfootrace.com.au/
27-Jun-21,Sun,Western Sydney Marathon,10k / 21k / 42k,Changed from October to Wunter!,Sun 23 May 21,https://www.westernsydneymarathon.com.au/
27-Jun-21,Sun,SMH Half Marathon,21k,The classic half!,Sun 23 May 21,https://smhhalfmarathon.com.au/
3 to 4 Jul-21,Sat-Sun,Gold Coast Marathon,10k / 21k / 42k,Ask Richard who has run 5!,Sun 23 May 21,https://goldcoastmarathon.com.au/
18-Jul-21,Sun,Winery Running Festival,5k / 10.5k / 21k,No marathon this year,Sun 23 May 21,https://wineryrun.com/
25-Jul-21,Sun,Westlink M7 Marathon,5k / 10k / 21k / 42k,Great course,Sun 23 May 21,https://www.blacktown.nsw.gov.au/Events-and-activities/Westlink-M7-Blacktown-Running-Festival
tbc ??-Aug,tbc,City to Surf,14k,Our biggest Event of the year!,Sun 23 May 21,https://city2surf.com.au/
21-Aug-21,Sat,Bilpin Fun Run (Willy2Billy),16k / 31k,Maybe Cancelled,Sun 23 May 21,http://www.bilpinbushrun.com.au/
22-Aug-21,Sun,Pub-2-Pub Beach-2-Beach,14k,a Michael Fortune favourite,Sun 23 May 21,https://www.runningcalendar.com.au/event/pub-2-pub/
tbc ??-Aug,tbc,SAN Fun Run,5k / 10k,Support our local hospital,Sun 23 May 21,https://www.sah.org.au/run-for-life
3-Sep-21,Fri,Walk(Run) to Work Day,,,Sun 23 May 21,https://www.walk.com.au/WTW/homepage.asp
19-Sep-21,Sun,Blackmores Running Festival,10k / 21k / 42k,See Les at Last Drink station,Sun 23 May 21,https://sydneyrunningfestival.com.au/
24-Oct-21,Sun,7 Bridges Walk,28k,See Sydney on Foot,Sun 23 May 21,https://www.7bridgeswalk.com.au/
24-Oct-21,Sun,Mt Panorama Punish,6.2k,One hot lap around Mt Panorama,Sun 23 May 21,http://panoramapunish.com/
6 to 7 Nov,Sat-Sun,Carcoar Cup Running Festival,?,entries to open closer to the date,Sun 23 May 21,https://www.carcoar.com.au/news-events/carcoar-cup-running-festival
20 to 21 Nov-21,Sat-Sun,Stromlo Running Festival,10k / 30k / 50k,Hosted by Rob de Castella,Sun 23 May 21,https://stromlorunningfestival.com.au/
?? Nov-22,Sun,Central Coast Half,10k / 21k,Check with Martin Smith - 2021 cancelled,Sun 23 May 21,http://centralcoasthalfmarathon.com/
